ori,agency_name,state,Award Name,Award Number,City,County,State,Title,Description,fsaEvaluation,fsaCoordination,fsaDeliverables,fsaProjectTitle,Program Description
CA0195600,Redondo Beach Police Department,CA,City of Redondo Beach,2015-DJ-BX-0159,Redondo Beach,Los Angeles,CA,BJA FY 15 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation).

The grantee will use the JAG funds to purchase traffic enforcement equipment. The acquisitions will be used to better enforce speeding violations and reduce the amount of traffic collisions and injuries. NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Law Enforcemetn Technology Improvement Project,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0195600,Redondo Beach Police Department,CA,City of Redondo Beach,2017-DJ-BX-0159,Redondo Beach,Los Angeles,CA,BJA FY 17 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of criminal justice related activities based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following purpose areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; 7) crime victim and witness programs (other than compensation); and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.
This Local JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Any equipment purchases or funded initiatives such as overtime, task forces, drug programs, information sharing, etc. will be aimed at reducing crime and/or enhancing public/officer safety. NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",FY 17 Local JAG Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0411300,Redwood City Police Department,CA,"REDWOOD CITY, CITY OF",2020-DJ-BX-0327,REDWOOD CITY,,CA,BJA FY 20 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.  NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and an annual performance report through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measurement Tool (PMT) website (https://bjapmt.ojp.gov/).",FY 20 Local JAG Program,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program is the primary provider of federal criminal justice funding to states and units of local government and is authorized by Title I of the Omnibus Crime Control and Safe Streets Act of 1968 (Public Law No. 90-351) (generally codified at 34 U.S.C. 10151-10726), including subpart 1 of part E (codified at 34 U.S.C. 10151 - 10158); see also 28 U.S.C. 530C(a).  The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs;  7) crime victim and witness programs (other than compensation); and 8) Mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams."
CA0150600,Ridgecrest Police Department,CA,"RIDGECREST, CITY OF",2019-DJ-BX-0475,RIDGECREST,,CA,BJA FY 19 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.  NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",FY 19 Local JAG Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0150600,Ridgecrest Police Department,CA,"RIDGECREST, CITY OF",2020-DJ-BX-0607,RIDGECREST,,CA,BJA FY 20 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.  NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and an annual performance report through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measurement Tool (PMT) website (https://bjapmt.ojp.gov/).",FY 20 Local JAG Program,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program is the primary provider of federal criminal justice funding to states and units of local government and is authorized by Title I of the Omnibus Crime Control and Safe Streets Act of 1968 (Public Law No. 90-351) (generally codified at 34 U.S.C. 10151-10726), including subpart 1 of part E (codified at 34 U.S.C. 10151 - 10158); see also 28 U.S.C. 530C(a).  The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs;  7) crime victim and witness programs (other than compensation); and 8) Mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams."
CA0150600,Ridgecrest Police Department,CA,City of Ridgecrest,2017-DJ-BX-0826,Ridgecrest,Kern,CA,BJA FY 17 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of criminal justice related activities based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following purpose areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; 7) crime victim and witness programs (other than compensation); and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.
 
This Local JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Any equipment purchases or funded initiatives such as overtime, task forces, drug programs, information sharing, etc. will be aimed at reducing crime and/or enhancing public/officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",FY 17 Local JAG Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0150600,Ridgecrest Police Department,CA,City of Ridgecrest,2016-DJ-BX-0066,Ridgecrest,Kern,CA,Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation).



The grant recipient will use the JAG award to purchase an automatic security gate for the city police department. The current fencing and gate surrounding the police department and prisoner holding facility is dilapidated and unsecure. Funding and replacement of the older materials will enhance the safety of department personnel, prisoners, and citizens. NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Department's responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJA's Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Ridgecrest Police Department Facility Security Enhancement Upgrade,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0330000,Riverside County Sheriff's Office,CA,"RIVERSIDE, COUNTY OF",2017-DJ-BX-0759,RIVERSIDE,,CA,BJA FY 17 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of criminal justice related activities based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following purpose areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; 7) crime victim and witness programs (other than compensation); and 8) mental health programs and related law enforcement and corrections programs, including behavioral programs and crisis intervention teams.

This Local JAG award will be shared by the County and one or more jurisdictions identified as disparate within the current Fiscal Year eligibility list (www.bja.gov/Jag). JAG funding will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Any equipment purchases or funded initiatives such as overtime, task forces, drug programs, information sharing, etc. will be aimed at reducing crime and/or enhancing public/officer safety. 
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Riverside County Joint JAG 2017,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0330000,Riverside County Sheriff's Office,CA,"RIVERSIDE, COUNTY OF",2019-DJ-BX-0624,RIVERSIDE,,CA,BJA FY 19 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant (JAG) Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation) and 8) mental health programs and related law enforcement and corrections programs.

This JAG award will be used to support criminal justice initiatives that fall under one or more of the allowable program areas above. Funded programs or initiatives may include multijurisdictional drug and gang task forces, crime prevention and domestic violence programs, courts, corrections, treatment, justice information sharing initiatives, or other programs aimed at reducing crime and/or enhancing public/officer safety.
 
NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",FY 19 Local JAG Program,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0330000,Riverside County Sheriff's Office,CA,County of Riverside,2015-DJ-BX-0213,Riverside,Riverside,CA,BJA FY 15 Edward Byrne Memorial Justice Assistance Grant (JAG) Program - Local Solicitation,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG) allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation).

The Riverside County Sheriffs Department will serve as Fiscal Agent for the FY 15 JAG grant ($446,132).  The participating jurisdictions will use the funds for the following purposes:  The Banning Police Department ($9,668) will purchase seven Tasers; Cathedral City PD ($12,839) will use the funds for equipment and training; Coachella PD ($14,612) will use the funds for equipment and officer safety; Corona PD ($12,684) and Hemet PD ($26,919) will purchase radios; Desert Hot Springs PD ($21,176) will purchase Automated License Plate Readers; Indio PD ($29,891) will support its Smart Policing Initiative; Jurupa Valley PD ($16,165) will enhance traffic safety; La Quinta PD ($9,003) and Palm Springs PD ($18,028) will purchase computer equipment; Moreno Valley PD ($46,033) will target code violations;  Perris PD ($14,369) will fund directed patrols; Riverside City PD ($89,339) will purchase police cars and equipment; and Riverside County ($95,407) will target violent offenders and partially fund a Supervising Probation Officer.  NCA/NCF","JAG recipients will cooperate with any assessments, national evaluation efforts, or information or data collection requests, including, but not limited to, the provision of any information required for the assessment or evaluation of any activities within this project.",Coordinating the grant funds with other units of local government and with state justice planning efforts is strongly encouraged.,"Award recipients must submit quarterly Federal Financial Reports (SF-425) and semi-annual performance reports through GMS (https://grants.ojp.usdoj.gov). To assist in fulfilling the Departments responsibilities under the Government Performance and Results Act (GPRA), P.L. 103-62, applicants who receive funding under this solicitation must provide data that measure the results of their work. Therefore, quarterly performance metrics reports must be submitted through BJAs Performance Measure Tool (PMT) website (www.bjaperformancetools.org).",Riverside County Joint JAG 2015,"The Edward Byrne Memorial Justice Assistance Grant Program (JAG), administered by BJA and authorized under Public Law 109-162 (see page 136), is the leading source of federal justice funding to state and local jurisdictions. The JAG Program allows states and units of local government, including tribes, to support a broad range of activities to prevent and control crime based on their own state and local needs and conditions. Grant funds can be used for state and local initiatives, technical assistance, training, personnel, equipment, supplies, contractual support, and information systems for criminal justice, including for any one or more of the following program areas: 1) law enforcement programs; 2) prosecution and court programs; 3) prevention and education programs; 4) corrections and community corrections programs; 5) drug treatment and enforcement programs; 6) planning, evaluation, and technology improvement programs; and 7) crime victim and witness programs (other than compensation)."
CA0330000,Riverside County Sheriff's Office,CA,"RIVERSIDE, COUNTY OF",2018-FU-CX-K011,RIVERSIDE,,CA,"FY 2018 NCS-X Implementation Assistance Program: Support for Local Law Enforcement Agencies, Part 1","The National Crime Statistics Exchange (NCS-X) is an effort to expand the FBIs National Incident-Based Reporting System (NIBRS) into a nationally representative system of incident-based crime statistics. BJS and the FBI are implementing NCS-X with the support of other Department of Justice agencies, including the Office for Victims of Crime. The goal of NCS-X is to enroll a sample of 400 scientifically selected law enforcement agencies to submit data to NIBRS; when these 400 new NIBRS-reporting agencies are combined with the more than 6,600 agencies that currently report to NIBRS, the nation will have a nationally representative system of incident-based crime statistics drawn from the operational data systems of local police departments. These incident-based data will draw upon the attributes and circumstances of criminal incidents and allow for more detailed and transparent descriptions of crime in communities. The current mechanism by which local law enforcement (LE) agencies report data to the FBIs NIBRS, in general, is for local LE agencies to submit data to their state UCR reporting program, and then for the state UCR program to report those data to the FBI. While the FBI does accept NIBRS data directly from a small number of law enforcement agencies, the highly preferred route of reporting is through the state UCR program. The FY2018 solicitation furthers the goals of the NCS-X initiative by providing funding to the remaining states and local agencies in the NCS-X sample in order to assist them transition to NIBRS reporting. 

Riverside County Sheriffs Department (RCSD) is located in the 4th largest county in California, covering more than 7,300 square miles and policing 17 of the 28 cities in Riverside County. Riverside County has an estimated population of 2.4 million residents.

Currently, the agency utilizes an antiquated system that is unable to meet the required NIBRS standards. The department does not even utilize an electronic report writing system; therefore, all data are entered manually into their record management system (RMS). RCSD is going through the competitive process for procuring a new integrated computer aided dispatch and RMS (CAD/RMS) that will be NIBRS compliant. The selected vendor is slated to provide a mobile report writing module that will integrate the CAD data with the RMS data and provide an automated tool for patrol personnel to collect incident information. RCSD is requesting funds for the NIBRS component of the new RMS (based on quotes received through their competitive procurement process) and for hardware to support the new system.

(CA/NCF)","The grantee will be evaluated on the following factors: 1) quality of project management, including the successful and timely completion of tasks described in the submitted application; 2) quality and timeliness of deliverables submitted to BJS; 3) implementation of communications strategy to keep the BJS project manager (PM) and the NCS-X implementation team apprised of the status of the project; and 4) delivery of products and services as described in the submitted application and deliverables and solicitation.",,"Under this award the applicant will be responsible for the following deliverables (1)A project kickoff meeting to be held shortly after the start of the award. The kickoff meeting should be done via teleconference or video conference to save on travel costs. (2)If necessary after the discussion with BJS and the NCS-X Implementation Team at the kickoff meetinga revised, detailed timeline including: dates of completion for each task; dates of delivery for any deliverables; dates of delivery for monthly status reports; and the dates of scheduled meetings where applicable. (3)A revised budget, if necessary, based on the total award and discussion with BJS and the NCS-X Implementation Team at the kickoff meeting. (4)Communication plan: Each application should outline a communication strategy that will describe how the recipient of funds will provide project updates to BJS and the NCS-X Implementation Team, and describe how the project activities will be communicated within the agency, with the state and with the NCS-X Team. The communication strategy should include regular phone conferences with BJS, the State UCR program, and the NCS-X Implementation Team. During the award period: (1)Status reports: monthly, written reports that update the status of each task identified and report the progress made toward completion of each and monthly budget status updates. (2)Required financial reports. (3)Any additional deliverables identified by the applicant in the funding proposal and solicitation. (4)All required award progress reports.",Sheriff's Department FY2018 NIBRS Transition Project,"The National Crime Statistics Exchange (NCS-X) Initiative is part of a national movement to expand the number of law enforcement (LE) agencies reporting crime data to the FBIs National Incident-Based Reporting System (NIBRS). NCS-X seeks to transition a select sample of 400 LE agencies from across the country, including all of the largest agencies, to NIBRS, in order to use NIBRS data to generate national crime statistics. Under this funding announcement, BJS, in partnership with the FBI, seeks applications for funding to enable small and medium local LE agencies in the NCS-X sample those agencies with fewer than 750 or more sworn officers that are currently not reporting incident-based data to the Uniform Crime Reporting (UCR) Program to report crime data to the FBIs NIBRS, either through their state UCR Program or directly to the FBI. Enhancing the ability of LE agencies in the nation to submit incident-based data to their state UCR Program or to the FBI directly is an effort jointly supported by BJS and the FBI."
